Review,date,Author,Location
"I think the more I go on these organised safaris, be it Wales, Yarla or otherwise, I get a further feeling of sadness. Don't get me wrong, the park is beautiful, the jeep bouncing at breakneck speed over the unmade roads equals the unequivocal excitement when the call comes in to say that there has been a leopard sighting. However, the crowding, the poorly maintained vehicles belching fumes and kicking up dust as they force their way down a narrow stretch of track to peer blindly into the Bush, to a throng of horns and shouting from frustrated drivers, soon kills the moment. I am no naturalist, so cannot profess to be an expert, but surely these dim witted, heavy footed jeep drivers can begin to work out that these wild animals will simply bugger off through fear or loathing at being oggled at by a thousand tourists in their stinking Toyotas, hovering parasitically around their lunch spot. There needs to be some more structure, the queues of traffic were equal to Londons South Circular on a busy rush hour. Drivers heading down the wrong side of the road to try and jump the tailback, all be it to give their riders a better chance I except, but ultimately further adding to the pandemonium. A system needs to be implemented to improve the park, the quality of life for the residents and indeed the tourists.As I say, beautiful park, but the sight of 30 jeeps, complete with screaming horns and drivers, hemming a young bull elephant in between them and the river it was trying to drink from is not acceptable, and at that point I asked to go home.",2019/01/04,epj123,"London, United Kingdom"
"You cannot go to Galle without vising the Fort and the town inside the fort. Arrive around 4 pm, for it will take 2 hours to walk around and you cannot miss the sunset.We had a great guide Priya (Priyantha +94 777 899 303). I would highly recommend a guide for they point out many things you may walk past.",2019/01/04,Go586824,"Galle, Sri Lanka"
This was much cheaper than sigiriya  lion rock. But no history and architectural brilliance.  Pure nature.  Lovely viewpoint.,2019/01/04,HafsaPretoria,Pretoria
The self tour was good. The numbered stalls give additional information so that anyone can get the required information.,2019/01/04,blackFrog,Male
beautiful beach with coconut plantations so nice  to see. we dive and get a unforgettable experience in the Beach,2019/01/04,cptj2210,"Kandy District, Sri Lanka"
Mirissa is a perfect beach for relaxing. The sand is the softest I have ever felt and the whole beach is very clean. It’s a good swimming beach and there are lots of restaurants for lunch or dinner.,2019/01/04,berekah21,
"Great place for surfers but not for children. Bones-breaking waves :) 
It is very nice place with many restaurants, sun beds... you can rent snorkeling equipment.
The beach is pretty long so you dont meet many other turists there (out of main season)
Great views.",2019/01/04,helenam721,
"place of worship explains the transition of religion in Sri Lanka , peaceful and clam , if you are interested in different religions good to see",2019/01/04,PradeepK1601,
"This place is one of must visit placed in Kandy and I recommend it as well. I would suggest you to visit in the evening, so that you can have awesome feel of lights.",2019/01/04,vicenare,"Chennai, India"
This beach is small but very beautiful and not too crowded. The water is nice and blue and very warm. The sand is amazing too. Totally recommend it!,2019/01/03,381vintageg,
"The gardens are beautiful, while you walk towards the rock. Climbing of the rock is a challenge, but we succeeded. From the Lions stairs up to the palace it is really fabulous.",2019/01/03,amsterdam05,"Amsterdam, The Netherlands"
It’s a nice place to visit when you travel to Sri Lanka. I recommend this attraction. It cost about lkr 4500.You need to be prepared to clime. We had difficulties because of the heavy rain that day. Umbrella is a must if it’s raining and wear confortable clothes and shoes. It’s very nice and you will enjoy. I’ll share a picture,2019/01/03,Belal911,"Dammam, Saudi Arabia"
"Living here for two years I can't believe we have never done this before! It HAS TO be on your bucket list of you're outdoorsy, adventurous or just enjoy beauty in nature. We left Newara Eliya at 5am and paid and entered the park by 7am. The entire walk took us 3 hours and was stunning. You walk through so many different terrains and get to see stunning sights. I even saw families with young children managing the walk. You can choose to go right or left at the Y-bend after entering on the walk. We went left, which takes you to little world's end, then on to world's end and finally the falls. But you can go right and switch the order. I think we choose well as returning by the left route may be more difficult than via the right. Look out for the clouds covering the valley as you drive up the mountain. Magnificent!",2019/01/03,603janetv,"Bangkok, Thailand"
"We love walking in the forest but normally we are alone or with people enjoins the silence and the nature.We found ourselves surrounded by hundreds of persons, screaming and just being there for a selfie with the mountains behind.Three Chinese girls were walking listening to pop music played by a loudspeaker!It’s a shame that a place like that is available to people not really appreciating its value.",2019/01/03,672StefaniaG,"Abu Dhabi, United Arab Emirates"
"Lovely beaches ,quiet and peaceful. We did notice quite a lot of litter on beach on our morning walk which wS disappointing. 

Railway line runs along the coast.",2019/01/03,maurbell,"Randwick, Australia"
Bentota beach is the perfect place if you are looking for a quiet place. You can rent a sun bed and an umbrella for a few dollars. The beach is clean with warm water.,2019/01/03,PatrickD642,"Montreal, Canada"
"This park, in my opinion, was as enjoyable as the African parks. We did a two-day trip in this park, starting 4am & staying until around 5.30 - 6.00pm. We hired a vehicle for the two of us & the driver was useful & acted as a guide too. We managed to see leopards, sloth bear, Ceylon spotted dear, mugger crocodiles, boars, ruddy mongooses, black-necked hares, langurs, elephants & numerous species of birds (big & small). Although many cars were waiting at entrance gate, very few were seen once inside. Excellent experience & highly recommended. Time of visit was August 2017.",2019/01/03,pinto_11,"London, United Kingdom"
"Excellent trip to National Park although a long journey through windy roads to get there but well worth the effort. Jeep was great but seats a bit lumpy on the bum. Bouncy does not describe the journey through the park, I thought I was Tigger , bouncy wouncey fun fun fun fun fun. Loads to see and guide was great at spotting things that were very difficult to see even when pointed at. Leopards were not on the agenda today but hey that’s what it’s all about if you seen them every trip they wouldn’t be elusive would they. Well worth the money and Ruchi Tours comes well recommend on 076 7063903. If you are in the region of Wadduwa",2019/01/03,Jay-Amafayat,"Rothesay, United Kingdom"
"A perfect location to launch into other day trips. Fabulous beaches surround Galle Fort. Only 500 rupees will get you to most. The Fort is brimming with tea shops, cafes, restaurants, bars and shopping.",2019/01/03,Gary M,"Brisbane, Australia"
"You don't have to pay any entrance fee to enjoy Galle Fort :)It's a nice walk along the wall, and it's all connected. You can walk from one end all the way to the beach and viewpoint area. It's amazing how the fort is standing for so long through history.There's an area where there is a huge drop, sadly there are a lot of rubbish thrown down there. It's a pity how people can fail to help maintain things.There's a small beach but crowded with people. Walk further up and you will see sort of like a Viewpoint, also crowded with people. Before the viewpoint there is an area not too big almost nobody (think it's opposite the white mosque). We sat there with our legs hanging over the cliff while waiting for the sunset. It's a very high fall but doesn't seem like it in the picture I attached. It was amazing, peaceful and windy. Our enjoyment was short-lived as people began flocking to the spot we were at and started taking pictures. Do make sure u check out the fort at least once, I think it's worth taking the time.",2019/01/03,carynjen13,"Kuala Lumpur, Malaysia"
"We walked along the railway tracks from Ella which was an amazing trip anyway but made all the better by Nine Arch Bridge, from there we walked through some tea plantations, through 98 Acres resort where we stopped for a snack and drink then up to Little Adams Peak. You could skip the preface and get a tuktuk to the bottom but it wouldn’t be as fun!There is some development going on at the moment and it looks like there will soon be a cable car, I may be mistaken though. The walk was easy, there were plenty of families with kids and the views from the top were spectacular! There are two peaks and a third a short hike away too, it wasn’t busy and best of all it is free! We used this as our practice run the day before Ella Rock which is even more incredible!",2019/01/03,88UK,"Colchester, United Kingdom"
"Our guesthouse drew us a map which we had no issues following, we also went to 9 Arches bridge after here. Wish we'd set off a little earlier as its gets quite hot early but it was fine. Really nice walk, even having just done Adams Peak.",2019/01/03,kiwichelle,UK
"A very pleasant walk that takes you through town, tea plantations and up to the summit of Little Adam’s Peak. The last part was steep, but manageable.",2019/01/03,gemsbok71,"Melbourne, Australia"
"Interesting place with some great artefacts and information about the history of Sri Lanka. Be prepared for the usual high prices for foreigners to visit local attractions, I think it was overpriced for the time we spent there (our visit was made shorter by the lack of air conditioning).",2019/01/03,Elizabeth A,"Pagewood, Australia"
"Within the Galle Fort area there are many nice shops, bars and restaurants to spend a few hours and admire th ehistory of the place",2019/01/03,784colinl,"Cessy, France"
"It's a really beautiful place! I walked around the whole city by foot and it took me 3 hours. It is unlike Colombo where you have to plan your route carefully. The streets are aligned properly and navigating around it is really straightforward.

The Fort...More",2019/01/03,Gideon_Lin,"Singapore, Singapore"
"Enjoyed our tour around here which was educational. One outbuilding houses the skeletal remains of the former elephant entrusted to carry the tooth which seemed a bit morbid, but we saw some interesting items here.",2019/01/03,karlk614,"Canterbury, United Kingdom"
"We were here for the mid morning ceremony. Lots of people, mainly locals. Many people brought offerings.",2019/01/03,amsterdam05,"Amsterdam, The Netherlands"
"This temple is quite an attraction in Kandy. They charge LKR 700 for SAARC tourists and LKR 1,000 for other tourists. The temple is quite huge and it does take time to go through it. Photography is allowed but you cant pose with the idols. There are no eateries inside the temple and you need to remove your footwear before entering. You can easily spend up to 1 to 2 hrs in this temple.",2019/01/03,Aniketsp1234,"Mumbai, India"
"If you're visiting and not doing the puja or making an offering, please avoid the puja timings (available online) - we spent 3 hours because it was so crowded during the morning puja. The facade is beautiful, the interiors not so well maintained. The history of the tooth relic is depicted through paintings which is quite fascinating. Spoiler: even if you visit during the puja timings, you can only see the golden casket in which the tooth is stored, from a few feet - they never take the tooth out.",2019/01/03,abhipsita,"Mumbai, India"
"Wow, this was a pretty amazing and full on experience which I wasn't prepared for. The throngs of worshippers that come here can be a little overwhelming especially once the doors open for the tooth relic (as other have mentioned you don't see the tooth, it is enclosed in a gold casket which itself is rather spectacular). The crowds that surge forward is not unlike being in a mosh pit at a concert - and great to be caught up in it all. Teh temple itself is pretty stunning and you can easily spend quite a bit of time here esp. if you're here during on of the ceremonies and happy to line up for a closer look at the casket that holds the tooth. I don't think you could come to Kandy and not come here, Its is the holiest of sites and an unforgettable experience. A guide would have been useful to understand it all a bit better imho.",2019/01/03,kiwichelle,UK
"Its a nice place, located centrally. Needs at least one and half hours to enjoy the whole place. Should be visited in morning time to enjoy the complete beauty. Tickets for foreigners @1000SLR/person. Made up of all wood, beautifully carved. After finishing the visit, u can enjoy the local market which is also beautiful and will give u the feel of old times. For vegetarians one BALAJI DOSA serves u good food. A local souvenir shop near to balaji dosa has good material (bargaining is must)",2019/01/03,Prabhutva,"Bharatpur, India"
"By the time we visited here we were a little “tempted out” but so glad we made the effort and went.Be prepared to take your shoes off and walk barefoot for a few hours as you visit the temple. Also wear trousers and no hats. There was a lot of pushing and shuffling in the queue, partly because we came at the same time as the ceremony was about to start! This was fine as we had been used to this elsewhere. Once inside, OMG it was incredible. The temple itself along with the main area where the tooth relic is kept are so ornate it’s hard to describe. I don’t like taking pictures inside any religious building so we truly took in the smaller details that those who were viewing behind their cameras may not have seen. On entering the temple I overheard one person say “what do you mean we can’t take photos? What’s the point in going in?” To me the point is to go in and respect the building for the religious purpose it has. We saw incredible detail on the drawings, paintings, carvings etc. An incredible experience and certainly a must do.If you come prepared for the pushing and craziness of the place you will enjoy it more and I challenge you to not take any photos inside.",2019/01/03,bowenqs,"Darrington, United Kingdom"
"Amazing beach, great atmosphere, plenty of beachfront restaurants with great food. Hand fed giant sea turtles. Awesome surf, but crowded.",2019/01/02,Kmmck15,"South Australia, Australia"
A must do if coming to Sigriya albeit as with a lot of other entrance fees it is a little pricey. We started early getting there for 7am and actually it wasn't very crowded at all at that time and it was find going up and down. we took our time at the top although it was starting to get pretty busy as we were leaving. Also best to get there early as its starts getting pretty hot too. I thought it was worth doing and we enjoyed it.,2019/01/02,kiwichelle,UK
"Not much to add to numerous other reviews.I'll summarize key points:1. Go early to avoid crowds and also to avoid the heat of the day as there is a reasonable amount of climbing to do. Not pleasant on a hot humid afternoon.2. Take water, sunscreen and hats. See above.3. Do a little reading about the history prior to the climb. It will add value to the trip.4. Take a good camera.5. Go to the toilet prior to the climb :)6. Locals can enter the site after they pay a Rs50 entrance fee.Foreigners will have to pay $30 USD. Take cash.",2019/01/02,gary k,"Launceston, Australia"
"Nice views, a little scary but it's part of the fun. Only negative is you pay over 90 times the locals do for the entrance fee. If you can afford it, it is a good way to exercise. Enjoyed the hike and view. Tourists feeding monkeys were not good for them,",2019/01/02,ArielC1111,
"Perfect for a morning hike. Wild life like deers, birds, lizards are abundant here but you need to look carefully, sometimes with a telescope, to find them. They usually live far from the human trails, which is a good thing. the ""World's end"" has a good view but nothing unique.",2019/01/02,mauruzou,
It was impossible to walk the full length of this wonderful beach. The surf is amazing - but it clams for swimming in the afternoons. Some days the water was positively too hot! Good range of cafes and bars and hotels. Very clean and no one hassling us to buy things,2019/01/02,Lara d,
"Nice beach, well maintained shore, can get your drinks/food and enjoy grabbing them with the awesome beach view.",2019/01/02,siva j,"Hyderabad, India"
"Travelled in the ubiquitous 4WD. Got bogged in mud which put a premature end to our animal spotting. Did not see the prized leopard or sloth bear but it was made clear to us that these animals are scarce and viewings uncommon, so no issues with that.Saw lots of deer, peacocks, wild boar elephants and an assortment of bird life.It's a fine line between pleasing tourists and over burdening the park and attempts are being made to sequester over-visited areas to allow for habitat and wildlife recovery.",2019/01/02,gary k,"Launceston, Australia"
"We visited in October so the main blocks were closed. After a long drive from our safari camp we entered via the Galge entrance to Block V for an afternoon safari. There was a large downpour on the way in to the park and the waterways were impressive and the reservoir scenic, but we were disappointed not to see as many animals as we hoped. Saw lots of deer and birds and a few elephants but no leopards. There were a reasonable number of jeeps there but it was low season so not overcrowded.",2019/01/02,Elizabeth A,"Pagewood, Australia"
"The beautifully preserved Dutch fort, Protestant church and lighthouse, and the quaint, idyllic feel of the whole city with its cobblestone streets and a pristine beach with crystal clear waters is a must visit! The restaurants there are also great!",2019/01/02,abhipsita,"Mumbai, India"
"Great views from the top although it was quite hazy the day we climbed up.  Most of the walk up is fairly easy but the last part is a little challenging scrambling over boulders etc, esp, as I was wearing flip flops (doh) :-)  Worth...More",2019/01/02,kiwichelle,UK
Aussie family of 5. This was a great experience. The track up the mountain is lit with lights in the trees but bring a torch if your going up before dawn. It’s a well maintained track with steps. The last 100m is a boulder scramble....More,2019/01/02,R7027SUandrewm,"Kandy, Sri Lanka"
"This hike was so much fun. The views from the top were amazing. We were able to get a nice view of Sigiriya Rock on the top. The hike itself is a bit challenging, with Boulder hopping at the top.",2019/01/02,Samiam007injapan,"Godo-cho, Japan"
We climbed while staying at sigiriya village hotel.The trail starts with cut out rock steps and through caves and narrow gorges and gaps.Solo travel is good if your fit and flexible to stretch and climb the top part of the rock as there is no...More,2019/01/02,shehan p,
"The view on top is breathtaking. The ancient murals are grandiose and well preserved. Comparable to Dunhuang.
The compound is huge and the rock is steep. Not for week legs.",2019/01/02,mauruzou,
The climb is not difficult mostly but there are a couple of places where it is a little challenging. But it’s all worth it when you go to the top! Amazing views all around with Sigiriya on one side. Take a good pair of binoculars...More,2019/01/02,chamilaj2018,"Colombo, Sri Lanka"
"Easy, short, well marked hike with excellent views. Wear good shoes.  Go early to avoid the clouds.  Great views of the valley and Ella Rock.  Grab a coffee afterwards at 98 Acres and lunch at Adam's Breeze. The food is fantastic.",2019/01/02,arbor-us,"Hoi An, Vietnam"
There's no AC! There is absolutely nothing in this museum of any value or interest and the tickets are WAY over priced.,2019/01/02,tumani24,"Riyadh, Saudi Arabia"
"Colombo National Museum is a glorious colonial building full of beautiful historical artefacts. From textiles to jewellery, this museum has everything you need in order to understand their city. It’s such a great place to visit if you want to know more about Sri Lankan culture!",2019/01/02,lucascasemore,"Munich, Germany"
"If you’re going on a trip through Colombo, this should be your first stop since it teaches the historical context of the city. It not only provides a great understanding of the things you will see in your visit, English and other local languages are also used in their exhibits! Therefore, it’s really easy to understand everything!",2019/01/02,jasonjewett,"Dublin, Ireland"
"I went there in the afternoon. At the entrance, they offered to place my heavy bagpack at a place for free. A tag is passed to you. For an adult who does not have Sri Lankan citizenship, the entrance fee is LKR1000 which is around SGD7.50. There was no air-conditioned room for most of the exhibits. However, there are fans to keep you cool from the hot sun. The staff there was nice as I got lost for one part and then he guided me by telling me to go upstairs. There are various beautiful exhibits like the throne and the Sword of King Bhuwanekabhaju, which have a dragon face. It reminded me of the parrot umbrella of Mary Poppins. All in all, it was a good visit and one can spend 2-3 hours there.",2019/01/02,Gideon_Lin,"Singapore, Singapore"
"城堡很漂亮，很有历史感。堡内的小街小巷也很有味道。海边喝杯啤酒，lime soda很惬意。住的话，就还是在城堡外找好。
Excellent spot to spend a day in, have a drink on the fort walls, beautiful streets.
(this 100 char min limit is very annoying for Chinese users, 100 char in Chinese is a mini essay!)",2019/01/02,drunkenllama,"Cologne, Germany"
The beach itself was not that great. Really crowded however the nightlife is amazing.  New Years was fun. There is not much town to speak of.,2019/01/02,audreyrangel,"San Diego, California"
"To say that I hold Mirissa with active dislike, would be an understatement. A half built, rancid, huddle of half built homes, crowded around the A2 main road, reaking of diesel fumes from the thundering, unforgiving buses, lorries and tuk tuks. Get here, watch the Wales, stay as far away from the main road as is feasibly possible and then bugger off to Unawatuna, Iraq, Mars, or back to the cold drudgery of London. Anywhere but here. Do not think you could spend a quiet two weeker here away from it all, unless 'it all' is a war zone or Slough.",2019/01/02,epj123,"London, United Kingdom"
Highly recommend stopping here during your travels through Kandy. Beautiful architecture and amazing historical site that you can wonder through at your leisure.,2019/01/02,TravelSDF,"Toronto, Canada"
"If you ever have the pleasure of visiting this temple, I am sure it will change you forever. It is such a unique experience and it will make you reconsider everything you know about life. Plus, the sound of drums and the fragrance of flowers is not only relaxing, but it is also very beautiful.",2019/01/02,lucascasemore,"Munich, Germany"
"I love this temple; it is such a mystical place! The fragrance of lotus flowers is very pleasant, and you may even have the opportunity to catch a glimpse of the treasure held by this temple - the Sacred Tooth of Buddha. Definitely a great place to visit if you want to know more about Sri Lankan culture!",2019/01/02,jasonjewett,"Dublin, Ireland"
"This Buddhist temple is certainly one of the most important Sri Lankan landmarks. It feels magical somehow and it allows you to find peace and tranquility. In fact, even the surroundings and the atmosphere will make you reflect in your direction of life. It is surely one of the best places to visit in Sri Lanka.",2019/01/02,benholmes84,"Norwich, United Kingdom"
"The Buddhist temple grounds are quite vast and there is what appears to be a moat surrounding the central area. In addition to the holy aspects of this site, which contains the last remnant of Buddha’s body, his tooth, there is also quite a bit of history and even a museum devoted to displaying artifacts from Buddhism internationally. The educational experience is immense and the descriptions and history of all the artifacts are available in English.",2019/01/02,nick80nyc,"Hong Kong Island, China"
"It's interesting to observe a Theravada temple as a tourist from China who is used to Mahayana buddhism. They offer flowers instead of incenses, and Lankan people take great pride in their sacred bodhi tree which is the eldest. I learned a lot here.",2019/01/02,mauruzou,
"This temple that Buddhist come to pray, is not only for that but for the tourist to really get an idea of what the religion is also all about, and also a small museum with a touch of what Sri Lanka has to offer from its history. Something that wont be missed is the large collection of Classic Cars that are throughout the temple for the people to see.",2019/01/02,chandupa j,"Colombo, Sri Lanka"
The Muthurajawela sanctuary is a birders paradise. There is opportunity to see many endemics as well as migrants. The location can be easily accessible from Colombo and Negombo. Most hotels can arrange transportation or you can arrange an Uber ride. You should reach there early by 7am to be in the first boat. This will give you an added advantage. Many water birds and other passerines can be observed as well as some Raptors.The ride will take you on the historic Dutch canal upto the Negombo Lagoon and it is quite interesting for nature lovers. The boats are covered and will give some protection against the sun once it comes up.You can call the visitor center and pre book the ride. Details can be found on Google maps.,2019/01/01,luigi4nando,"Abu Dhabi, United Arab Emirates"
"Since we visited during last week of December(probably the peak season) we had to wait 1 hour for ticket and a big queue to climb. Initial part of climb is fine, but from lion's feet it becomes scary.Definitely not advisable with kids and people having problem with heights.No safety for the last stretch, just simple iron steps of 2-3 feet wide for both going up/down crowd.Once we go top the views are excellent and hardly any info about it except for the brochure that we got while buying ticket at counter.",2019/01/01,shrikss,"Bengaluru, India"
"Visited on Christmas Day.Even though we left the nearby hotel at 0630 there were queues by the time we arrived with a lengthy wait for tickets.But absolutely worth it. The climb to the top is via steps, I think 1200 in total, but easily do-able by any reasonably fit person. The frescoes on the way up are stunning. The views from the top stupendous.",2019/01/01,UKtravellersolo,"Oxfordshire, United Kingdom"
The views from the top are stunning. The climb is taxing but very slow due to the numbers of visitors and limited access staircases. Not for the fainthearted or those with a serious fear of heights although it is all via stairways nowadays. Opens at 7 am and the earlier you can get there the better as the crowds flood the rock from quite early.,2019/01/01,Pam K,"Albox, Spain"
Try to go early morning as you get good clear view of vally. Just carry suffcient water to keep yourself hydrated and where good pair of shoes. Once you are on Horton plains I dont think you need warm cloths as you get warm up as you keep on trailing. A must place to vist in Nuwara Eliya.,2019/01/01,Shishir2015,Mumbai
"I’m not a morning person so the thought of setting off at 5am for a hike filled me with dread. A compromise was reached with my guide and we set out at 7am instead. My guide told me that the walk had to be done before 9am otherwise I wouldn’t be able to see anything due to the mists. Judging by the number of people walking back when I started the trek, their guides had told them the same thing! The walk itself was challenging but totally worth it for the views. The mists had indeed settled when I reached world’s end but a bit of patience and I was able to get the amazing views. There’s lots of native fauna to be seen on the way, keep an ear out for the monkeys. Tip: most people turn left to reach little world’s end first, I went straight to get to baker’s falls first. This meant the walk back, when absolutely shattered, was way easier and mostly downhill.",2019/01/01,empressash,"Auckland, New Zealand"
"Nice view and interesting landscape, but if you have done any proper hiking before you won't see anything new. It's expensive for what it is (including transport it was $90 Australian to do a 10 km hike). Definitely not worth making the detour to the awful Nuwara Eliya to do the hike.",2019/01/01,Shane C,
Mount Lavinia is very much closer to the city limit of Colombo and there are many restaurants and hotels in this area.,2019/01/01,Lak_Sur,"Colombo, Sri Lanka"
"Choose Bundala or Uda Walawe instead - the amount of Jeeps means you can spend a long time waiting in a queue to see one elephant or peacock, or caught in a jam. If you want to see a leopard it’s apparently the best - although no signs on the morning we went - and it seemed so much more like a pursuit of animals than a gentle jaunt around the park, as in the other parks we went to. Definitely my least favourite wildlife park in Sri Lanka. We did see a few elephants, deer, wild boar, mongoose, birds and buffalo, but often from behind other jeeps.",2019/01/01,Shelley D,"Brisbane, Australia"
"We absolutely loved the fort - stay at a hotel inside it if you can. The fort itself is well used by locals, if you walk around in the morning or early evening you will find shy couples, kids playing crickets, families splashing in the water and many people taking sunset photos. The streets are all also charming and full of cafes and shops - but not cheap.",2019/01/01,Shelley D,"Brisbane, Australia"
"I love Galle Fort, it is just beautiful, a breath of fresh air to see such history and beauty after seeing other crazy, busy towns. Yes, I know it’s aimed at the tourists but it’s done very well and made me feel very at home and relaxed.",2019/01/01,ShellyAus,"Melbourne, Australia"
"Lovely reasonable walk up to Little Adam, doable with kids. Reasonably well signposted. Nice views from top.",2019/01/01,TwoPlusTwo2,"Dubai, United Arab Emirates"
"Just loved this place, so enjoyable just to walk around. The city is beautiful as are the walls and the ocean. You must visit here.",2019/01/01,ShellyAus,"Melbourne, Australia"
Loved it. Kids loved it. Some great restaurants. Definitely an up and coming place. We will be back.,2019/01/01,SG-Jim,"Singapore, Singapore"
"Good luck getting a spot to sit - it is packed, reminded us of Kuta in Bali or the Costa del Sol. Mirissa is a nice place but too many tourists and the beach is geared towards the masses. Sea is quite rough with dumping waves likely to pull you under. Best place to eat is No 1 Dewimni roti hut - amazing.",2019/01/01,32esther,"Sydney, Australia"
We loved this beach! Even though our hotel was facing a beach we rented a scooter to get to Mirissa beach every day. The sea is great to swim and just enjoy the rolling waves. Doesn’t have surfers (at least in our 5 days we didn’t see any). The sea is quiet enough to swim but also has some nice waves to make it fun. It has lots of restaurants and shops around.,2019/01/01,40criss,"Greater London, United Kingdom"
An absolute must do if you visit Sri Lanka. Impressive complex of temple and palaces. Part of the history of Sri Lanka is translated in this temple. A lot of monks and also many locals!,2019/01/01,DominiqueT536,"Grimbergen, Belgium"
Temple is very big and nicely maintained. Tickets are expensive but for indians we have to pay half as compared to other foreigners.Everything is very neat and clean inside. Also the attached museum is very good and you can learn a lot by visiting there.,2019/01/01,shrikss,"Bengaluru, India"
"We spent a lovely afternoon (3hours) visiting the temple, the museums and just chilling in the gardens.
Don’t forget you have to be barefoot and have your shoulders and knees covered when visiting.",2019/01/01,40criss,"Greater London, United Kingdom"
It's a beautiful Buddhist temple with different forms of the Buddha. The paintibgs and the beautiful statues make it a worthy visit,2019/01/01,AshokR,"Kolkata, India"
"Gangaramaya is giving a wrong impression if defined as a Buddhist Temple. They charge money from foreigners, which is very wrong. Temples are places open for anyone. Also there are facilities/places with notices ""Only for Foreigners"" which is again wrong. Its pretty ironic, Buddha told us to treat equally to all and at least this temple couldn't adhere to these fundamentals. There are a lot of attractive historic artifacts which seems beautiful though, yet doesn't suits a temple.",2019/01/01,Sumedha O,"Colombo, Sri Lanka"
"Get enamored by the stunning views through Ella Gap overlooking a spectacular gap in the southern mountain wall. Situated in the middle of beautiful countryside, with small vegetable plots, tea plantations on the hill slopes and forests on the tops this hill station is nothing less than breathtaking. Ella undoubtedly, is one of the most beautiful places to visit in Sri Lanka.",2019/01/01,traveltriangle,
"A 19th century hill station Nuwara Eliya retains its colonial ambiance with its golf course, gentlemen’s clubs and mock-Tudor buildings. It is one of the most beautiful locations in Sri Lanka for a scenic rail ride. Experience the stunning views of the surrounding tea plantations, waterfalls and dramatic mountains the train takes you from Kandy to Nuwara Eliya. You wouldn’t want the ride to end",2019/01/01,traveltriangle,
"Can you imagine anything as heartwarming as staring at baby elephants as they enjoy a river soak? And at this beautiful place in Sri Lanka – the Pinnawalla Elephant Orphanage you can! It won’t be hard to believe if you wouldn’t want to leave this paradise. This place is 13 km away from the town of Kegalle and one can come from any public transport. This is a very popular tourist destination and gives visitors a very different kind of experience. Watching the baby elephants doing mischief and moving here and there is a lifetime experience. One cannot get to see all this anywhere else. When you will come to this place, you will get many small reasons that you will definitely love this place. Therefore, whenever you come to Sri Lanka do visit this place",2019/01/01,traveltriangle,
"The next place in the list is again a city that is popular for the temples. You could easily spend your day imagining the ancient city life at the ruins of Polonnaruwa. Well preserved and full of archaeological treasures with hundreds of ancient structures like tombs and temples, statues and stupas it is difficult to not be amazed by the ruins here. This is known to everyone that Sri Lanka is the country of temples and also it has many monuments and heritages that depict its history and culture. Polonnaruwa is one such place that is very popular among the tourists and one will get to experience the real life of Sri Lanka here.

So, if you are a spiritual person and also you have an interest in knowing the history, culture, and tradition of different countries, then you must visit this place. This place will give you the exact glimpses of Sri Lanka history and culture. One would wonder as what are the things here, which will give the sneak peek of the Sri Lankan history? The answer to this question is that there are the remains of the old buildings and monuments that were once standing here",2019/01/01,traveltriangle,
It is hard to not be stunned by the beautiful murals and statues in this beautifully preserved cave with over 150 statues of Buddha. Experience the peace and silene in this stunning cave temple that bear testimony to the extraordinary cultural artifacts in ancient Sri Lanka.,2019/01/01,traveltriangle,
Amazing beach ! Clear water and clean beach. Nice restaurant beside or on the beach. I recommand it.,2018/12/31,karolane b,"Trois-Rivieres, Canada"
"A Terrific experience. Get there early, opens at 7.  Be there then, otherwise queues are huge. The views are spectacular at the top",2018/12/31,100russellt,"London, United Kingdom"
"£50 to climb and locals pay way less.
Everyone in on scam no staff to deal wit crowds .
Only matter of time before a serious incident.
They need to set up better health & safety standards",2018/12/31,barneygumble06,"London, United Kingdom"
So we booked this through our hotel in Colombo which after paying for told us it would cost us 7000 to climb the rock. Bearing in mind it took us 7 1/2 in traffic because the drive crazy no rules .We arrived at the rock after 3:5 hour drive to be met by chaotic scenes. Absolutely no structure or proper set up. When we arrived the rude cashier attendant told us it would cost us 10800 over £50 to climb the rock. This was the start of the scam. Locals pay wait less bot £ 2 to climb it and they have a different cashier. No prices are on display . We got to the stairs and it was crazy no staff controlling the people and no care for people’s safety.We met a nice American couple who advise us t get a guide as the queues where mental.We paid 6000 extra and he took us up the right hand side steps. Not too difficult a climb as we are not the most active 3 steep stairs where you can rest at the top.The one or two staff working knew our guide and he pushed in and was allowed pass the queues again he’s probably getting a cut too.We got to the top and there is not much up there as it’s ruins with no information. View was very nice picture moment.Our guide rushed us through and we began our descent. He again pushed in and was allowed by staff. We where told it took 4 hours by couple who queued. We did it in less than 2 hours.There is no where near enough staff to deal with so many people and I feel it’s only a matter of time before their is a serious incident.No real regard for people’s safety and I know in other countries it would not be allowed.If you don’t want to pay guide go to the right hand side steps .It was a nice but felt like everyone was trying to catch people out. Bring plenty of water or you can pick up some in stalls at bottom.,2018/12/31,barneygumble06,"London, United Kingdom"
